LakeID,km2,lat,lon,LakeName,GlacierName,waterFlow,downstream,isHazard,floodhistory,futureHazard,futureHazardETA,hazardURL,summary,moreinfo
B1,0.72,61.14511519,-146.8381818,Lake Number One,NA,NA,NA,FALSE,NA,FALSE,,,,
B2,0.22,61.69343392,-146.9239025,NA,Nelchina Glacier,Nelchina River,Nelchina,TRUE,Flood in 1970,FALSE,,NA,NA,NA
B3,0.53,60.81752052,-144.8632891,NA,Allen Glacier,Copper River,NA,FALSE,NA,FALSE,,,,
B4,0.6,60.47664785,-142.7732323,NA,Bering Glacier,NA,NA,FALSE,NA,FALSE,,,,
B5,0.21,60.60770969,-142.20566,NA,Jeffries Glacier,NA,NA,FALSE,NA,FALSE,,,,
B6,0.32,61.84838897,-143.9919146,NA,Long Glacier,Kotsina River,Chitina,FALSE,NA,FALSE,,,,
B7,0.06,61.83474237,-143.9932991,NA,Long Glacier,Kotsina River,Chitina,FALSE,NA,FALSE,,,,
B8,0.67,61.8182662,-143.993435,NA,Long Glacier,Kotsina River,Chitina,FALSE,NA,FALSE,,,,
B9,0.38,61.90755989,-143.2395681,NA,Nabesna Glacier,Nabesna River,Northway,FALSE,NA,FALSE,,,,
B10,0.1,61.90629403,-143.3240357,NA,Nabesna Glacier,Nabesna River,Northway,FALSE,NA,FALSE,,,,
B11,0.48,61.96511051,-143.1328874,NA,Nabesna Glacier,Nabesna River,Northway,FALSE,NA,FALSE,,,,
B12,0.48,61.97689215,-143.1092058,NA,Nabesna Glacier,Nabesna River,Northway,FALSE,NA,FALSE,,,,
B13,1.19,61.98782555,-142.948017,NA,Nabesna Glacier,Nabesna River,Northway,FALSE,NA,FALSE,,,,
B14,0.07,61.98421468,-143.0743861,NA,Nabesna Glacier,Nabesna River,Northway,FALSE,NA,FALSE,,,,
B15,0.6,62.00602117,-143.0497286,NA,Nabesna Glacier,Nabesna River,Northway,FALSE,NA,FALSE,,,,
B16,0.13,61.83852886,-143.3894552,NA,Nabesna Glacier,Nabesna River,Northway,FALSE,NA,FALSE,,,,
B17,0.24,61.78191376,-142.5043009,NA,Rohn Glacier,Chitina River,NA,FALSE,NA,FALSE,,,,
B18,0.34,62.14290196,-142.851891,NA,Nabesna Glacier,Nabesna River,Northway,FALSE,NA,FALSE,,,,
B19,0.48,61.65643802,-141.9225489,NA,NA,NA,NA,FALSE,NA,FALSE,,,,
B20,2.77,61.629214,-141.9819473,Upper Sklai Lake,NA,NA,NA,FALSE,NA,FALSE,,,,
B21,0.17,60.8595552,-141.162663,NA,NA,Chitina River,Ultima Thule Lodge,FALSE,NA,FALSE,,,,
B22,0.16,60.78578536,-140.3675508,NA,NA,Chitina River,Ultima Thule Lodge,FALSE,NA,FALSE,,,,
B23,0.34,60.81548018,-140.4573864,NA,NA,Chitina River,Ultima Thule Lodge,FALSE,NA,FALSE,,,,
B24,0.41,60.09286933,-140.9974402,NA,Agassiz Glacier,Icy Bay,NA,FALSE,NA,FALSE,,,,
B25,0.2,59.53951285,-138.4236052,NA,NA,NA,NA,FALSE,NA,FALSE,,,,
B26,0.2,59.49339173,-138.443028,NA,Novatak Glacier,Alsek Lake,NA,FALSE,NA,FALSE,,,,
B27,0.49,59.5602248,-138.5351892,NA,Yakutat Glacier,Harlequin Lake,NA,FALSE,NA,FALSE,,,,
B28,0.63,58.99692208,-134.562284,NA,NA,Berners Bay,NA,FALSE,NA,FALSE,,,,
B29,0.25,58.77812328,-134.4407183,NA,NA,Berners Bay,NA,FALSE,NA,FALSE,,,,
B30,0.37,58.76314355,-134.4666938,NA,NA,Berners Bay,NA,FALSE,NA,FALSE,,,,
B31,0.13,58.49045629,-134.1720512,NA,NA,Taku Inlet,NA,FALSE,NA,FALSE,,,,
B32,0.1,57.1980836,-132.7322955,NA,NA,Thomas Bay,NA,FALSE,NA,FALSE,,,,
B33,0.08,57.20062388,-132.5635486,NA,NA,Thomas Bay,NA,FALSE,NA,FALSE,,,,
B34,1.2,57.09757934,-132.5542132,NA,NA,Scenery Creek,NA,FALSE,NA,FALSE,,,,
B35,0.11,57.07313514,-132.50219,NA,NA,Scenery Creek,NA,FALSE,NA,FALSE,,,,
B36,0.17,56.84430406,-131.9216257,NA,Great Glacier,NA,NA,FALSE,NA,FALSE,,,,
B37,0.18,56.8001534,-131.2990045,NA,NA,Iskut River,NA,FALSE,NA,FALSE,,,,
B38,0.2,58.583511,-136.6668671,NA,Brady Glacier,Geikie Inlet,NA,FALSE,NA,FALSE,,,,
B39,0.25,58.5450997,-136.6638596,NA,NA,NA,NA,FALSE,NA,FALSE,,,,
B40,0.2,58.5287509,-136.6676273,NA,NA,NA,NA,FALSE,NA,FALSE,,,,
B41,1.17,58.36553443,-136.6978039,Trick Lake,Brady Glacier,Taylor Bay,NA,FALSE,NA,FALSE,,,,
B42,0.14,58.42429996,-136.6437969,NA,NA,Taylor Bay,NA,FALSE,NA,FALSE,,,,
B43,0.11,58.48590013,-137.1755587,NA,Finger Glacier,NA,NA,FALSE,NA,FALSE,,,,
B44,NA,63.60826005,-147.5600261,Yanert Lake,Yanert Glacier,Yanert Fork,NA,FALSE,NA,FALSE,,,,
B45,0.14,63.49020927,-147.5225275,NA,NA,NA,NA,FALSE,NA,FALSE,,,,
B46,1.29,58.88700546,-133.8638793,NA,NA,Tulsequah River,Taku Inlet,FALSE,NA,FALSE,,,,
B47,0.1,58.82141389,-133.8242952,Tulsequah Lake,NA,Tulsequah River,Taku Inlet,FALSE,NA,FALSE,,,,
B48,0.76,57.1595586,-131.9109995,Flood Lake,NA,Stikine River,NA,FALSE,NA,FALSE,,,,
B49,0.51,57.97652958,-133.0908086,NA,Sawyer Glacier,Holkham Bay,NA,FALSE,NA,FALSE,,,,
B50,1.17,61.66418761,-146.8775494,NA,Nelchina Glacier,Nelchina River,NA,FALSE,NA,FALSE,,,,
B51,0.38,61.10130282,-146.907481,NA,NA,NA,NA,FALSE,NA,FALSE,,,,
B52,0,61.02957311,-146.9803153,NA,NA,NA,NA,FALSE,NA,FALSE,,,,
B53,0.26,61.59553858,-146.4738687,NA,Tazlina Glacier,Tazlina River,Copperville,FALSE,NA,FALSE,,,,
B54,2.17,61.59138925,-146.6349443,NA,Tazlina Glacier,Tazlina River,Copperville,FALSE,NA,FALSE,,,,
B55,0.28,61.64096978,-152.1350668,NA,Trimble Glacier,Hayes River,NA,FALSE,NA,FALSE,,,,
B56,0,61.66305638,-152.0864742,NA,Trimble Glacier,Hayes River,NA,FALSE,NA,FALSE,,,,
B57,4.7,61.49322097,-151.9027777,Strandline Lake,Triumvirate Glacier,Beluga Lake,NA,FALSE,NA,FALSE,,,,
B58,1.19,61.48989273,-151.9939157,NA,Triumvirate Glacier,Beluga Lake,NA,FALSE,NA,FALSE,,,,
B59,0.33,60.77425324,-143.7498955,NA,Fan Glacier,Miles Lake,NA,FALSE,NA,FALSE,,,,
B60,5.47,60.70627273,-144.374514,Van Cleve Lake,Miles Glacier,Miles Lake,NA,FALSE,NA,FALSE,,,,
B61,1.18,60.26706536,-143.1599533,NA,Bering Glacier,Hanna Lake,NA,FALSE,NA,FALSE,,,,
